Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ContentLibraries,Chrome 131.0.0.0,,,30-11-2024 14:18:59,30-11-2024 14:25:43,6m - 44.660s,PASSED
,,,,,,,
Test Cases/ContentLibraries/CheckThatAllFieldsAreAppear,Chrome 131.0.0.0,,,30-11-2024 14:18:59,30-11-2024 14:19:14,14.889s,PASSED
"openBrowser(""https://preprod-ula-content-library.joacademy.tech/login"")",Chrome 131.0.0.0,,,30-11-2024 14:18:59,30-11-2024 14:19:04,4.492s,PASSED
maximizeWindow(),Chrome 131.0.0.0,,,30-11-2024 14:19:04,30-11-2024 14:19:04,0.064s,PASSED
"sendKeys(findTestObject(""Login/Email""), ""main.burghol@joacademy.com"")",Chrome 131.0.0.0,,,30-11-2024 14:19:04,30-11-2024 14:19:04,0.518s,PASSED
"sendKeys(findTestObject(""Login/Password""), ""main1234"")",Chrome 131.0.0.0,,,30-11-2024 14:19:04,30-11-2024 14:19:05,0.320s,PASSED
"click(findTestObject(""Login/button_Sign in""))",Chrome 131.0.0.0,,,30-11-2024 14:19:05,30-11-2024 14:19:05,0.341s,PASSED
delay(5),Chrome 131.0.0.0,,,30-11-2024 14:19:05,30-11-2024 14:19:10,5.043s,PASSED
"click(findTestObject(""ContentLibraries/Content Libraries""))",Chrome 131.0.0.0,,,30-11-2024 14:19:10,30-11-2024 14:19:12,1.904s,PASSED
"verifyElementClickable(findTestObject(""ContentLibraries/ChangeLanugage""))",Chrome 131.0.0.0,,,30-11-2024 14:19:12,30-11-2024 14:19:12,0.484s,PASSED
"verifyElementClickable(findTestObject(""ContentLibraries/button_Filter""))",Chrome 131.0.0.0,,,30-11-2024 14:19:12,30-11-2024 14:19:13,0.249s,PASSED
"verifyElementClickable(findTestObject(""ContentLibraries/button_Delete""))",Chrome 131.0.0.0,,,30-11-2024 14:19:13,30-11-2024 14:19:13,0.248s,PASSED
"verifyElementClickable(findTestObject(""ContentLibraries/span_Edit""))",Chrome 131.0.0.0,,,30-11-2024 14:19:13,30-11-2024 14:19:13,0.250s,PASSED
"verifyElementClickable(findTestObject(""ContentLibraries/SearchBar""))",Chrome 131.0.0.0,,,30-11-2024 14:19:13,30-11-2024 14:19:13,0.280s,PASSED
"verifyElementClickable(findTestObject(""ContentLibraries/New content library""))",Chrome 131.0.0.0,,,30-11-2024 14:19:13,30-11-2024 14:19:14,0.275s,PASSED
closeBrowser(),Chrome 131.0.0.0,,,30-11-2024 14:19:14,30-11-2024 14:19:14,0.197s,PASSED
,,,,,,,
Test Cases/ContentLibraries/CreateContentLibaray,Chrome 131.0.0.0,,,30-11-2024 14:19:14,30-11-2024 14:19:39,25.539s,PASSED
min = 1000,Chrome 131.0.0.0,,,30-11-2024 14:19:14,30-11-2024 14:19:14,0.002s,PASSED
max = 9999,Chrome 131.0.0.0,,,30-11-2024 14:19:14,30-11-2024 14:19:14,0.001s,PASSED
randomNumber = Random().nextInt(max - min + 1) + min,Chrome 131.0.0.0,,,30-11-2024 14:19:14,30-11-2024 14:19:14,0.025s,PASSED
"openBrowser(""https://preprod-ula-content-library.joacademy.tech/login"")",Chrome 131.0.0.0,,,30-11-2024 14:19:14,30-11-2024 14:19:18,4.189s,PASSED
maximizeWindow(),Chrome 131.0.0.0,,,30-11-2024 14:19:18,30-11-2024 14:19:18,0.045s,PASSED
"sendKeys(findTestObject(""Login/Email""), ""main.burghol@joacademy.com"")",Chrome 131.0.0.0,,,30-11-2024 14:19:18,30-11-2024 14:19:19,0.505s,PASSED
"sendKeys(findTestObject(""Login/Password""), ""main1234"")",Chrome 131.0.0.0,,,30-11-2024 14:19:19,30-11-2024 14:19:19,0.326s,PASSED
"click(findTestObject(""Login/button_Sign in""))",Chrome 131.0.0.0,,,30-11-2024 14:19:19,30-11-2024 14:19:19,0.351s,PASSED
delay(5),Chrome 131.0.0.0,,,30-11-2024 14:19:19,30-11-2024 14:19:24,5.017s,PASSED
"click(findTestObject(""ContentLibraries/Content Libraries""))",Chrome 131.0.0.0,,,30-11-2024 14:19:24,30-11-2024 14:19:27,2.585s,PASSED
"click(findTestObject(""ContentLibraries/New content library""))",Chrome 131.0.0.0,,,30-11-2024 14:19:27,30-11-2024 14:19:29,1.670s,PASSED
delay(3),Chrome 131.0.0.0,,,30-11-2024 14:19:29,30-11-2024 14:19:32,3.017s,PASSED
"sendKeys(findTestObject(""ContentLibraries/ContentLibraryCreation/EnglishTitle""), ""AutomationTest"")",Chrome 131.0.0.0,,,30-11-2024 14:19:32,30-11-2024 14:19:32,0.328s,PASSED
"sendKeys(findTestObject(""ContentLibraries/ContentLibraryCreation/code""), randomNumber.toString())",Chrome 131.0.0.0,,,30-11-2024 14:19:32,30-11-2024 14:19:32,0.297s,PASSED
"click(findTestObject(""ContentLibraries/ContentLibraryCreation/ChangeTheLanguageInsideCreateContent""))",Chrome 131.0.0.0,,,30-11-2024 14:19:32,30-11-2024 14:19:33,0.301s,PASSED
"click(findTestObject(""ContentLibraries/ContentLibraryCreation/ChangeLangaugeToArabicContent""))",Chrome 131.0.0.0,,,30-11-2024 14:19:33,30-11-2024 14:19:33,0.290s,PASSED
"sendKeys(findTestObject(""ContentLibraries/ContentLibraryCreation/ArabicTitle""), ""فحص الاوتوميشن"")",Chrome 131.0.0.0,,,30-11-2024 14:19:33,30-11-2024 14:19:34,0.856s,PASSED
"click(findTestObject(""ContentLibraries/ContentLibraryCreation/CreateButton""))",Chrome 131.0.0.0,,,30-11-2024 14:19:34,30-11-2024 14:19:34,0.280s,PASSED
"verifyElementVisible(findTestObject(""ContentLibraries/ContentLibraryCreation/Created_PopUp""))",Chrome 131.0.0.0,,,30-11-2024 14:19:34,30-11-2024 14:19:36,2.025s,PASSED
delay(3),Chrome 131.0.0.0,,,30-11-2024 14:19:36,30-11-2024 14:19:39,3.005s,PASSED
closeBrowser(),Chrome 131.0.0.0,,,30-11-2024 14:19:39,30-11-2024 14:19:39,0.310s,PASSED
,,,,,,,
Test Cases/ContentLibraries/CreateWithDuplicateCode,Chrome 131.0.0.0,,,30-11-2024 14:19:39,30-11-2024 14:20:06,26.954s,PASSED
"openBrowser(""https://preprod-ula-content-library.joacademy.tech/login"")",Chrome 131.0.0.0,,,30-11-2024 14:19:39,30-11-2024 14:19:43,3.460s,PASSED
maximizeWindow(),Chrome 131.0.0.0,,,30-11-2024 14:19:43,30-11-2024 14:19:43,0.037s,PASSED
"sendKeys(findTestObject(""Login/Email""), ""main.burghol@joacademy.com"")",Chrome 131.0.0.0,,,30-11-2024 14:19:43,30-11-2024 14:19:44,0.572s,PASSED
"sendKeys(findTestObject(""Login/Password""), ""main1234"")",Chrome 131.0.0.0,,,30-11-2024 14:19:44,30-11-2024 14:19:44,0.324s,PASSED
"click(findTestObject(""Login/button_Sign in""))",Chrome 131.0.0.0,,,30-11-2024 14:19:44,30-11-2024 14:19:44,0.312s,PASSED
delay(5),Chrome 131.0.0.0,,,30-11-2024 14:19:44,30-11-2024 14:19:49,5.012s,PASSED
